"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","27158","0.0-0.0","2024-12-03T14:49:09.691Z","6_km2cxs","","","","","","",""
"","","","","","survey","1","31660","0.0-1.0","2024-12-03T14:49:09.691Z","6_km2cxs","4448","{""testrun"":""Experiment""}","testrun","","","",""
"","","","","","survey-text","2","2118771","0.0-2.0","2024-12-03T14:49:09.691Z","6_km2cxs","2086983","{""subject_id"":""6_km2cxs""}","welcome","","","",""
"","","","","","html-slider-response","3","2141230","0.0-3.0","2024-12-03T14:49:09.691Z","6_km2cxs","22454","63","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","",""
"","","","","","html-slider-response","4","2147295","0.0-4.0","2024-12-03T14:49:09.691Z","6_km2cxs","6060","57","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","",""
"","","","","","html-button-response","5","2485271","0.0-5.0","2024-12-03T14:49:09.691Z","6_km2cxs","337972","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","",""
"","","","","","html-keyboard-response","6","2667777","0.0-6.0","2024-12-03T14:49:09.691Z","6_km2cxs","null","null","rest","","","",""
"","","","","","call-function","7","2667781","0.0-7.0-0.0","2024-12-03T14:49:09.691Z","6_km2cxs","","","","","","",""
"","","","","","survey","8","2811078","0.0-7.0-1.0","2024-12-03T14:49:09.691Z","6_km2cxs","143152","{""PCIRest1"":5,""PCIRest2"":1,""PCIRest3"":5,""PCIRest4"":6,""PCIRest5"":0,""PCIRest6"":5,""PCIRest7"":6,""PCIRest8"":2,""PCIRest9"":0,""PCIRest10"":5,""PCIRest11"":5,""PCIRest12"":6,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","2811081","0.0-7.0-2.0","2024-12-03T14:49:09.691Z","6_km2cxs","","","","","","",""
"","","","","","instructions","10","2887293","0.0-8.0","2024-12-03T14:49:09.691Z","6_km2cxs","76206","","instructions1","","","","[{""page_index"":0,""viewing_time"":76206}]"
"","","","","","html-button-response","11","3030000","0.0-9.0","2024-12-03T14:49:09.691Z","6_km2cxs","142646","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
