"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","18984","0.0-0.0","2025-02-04T13:59:04.605Z","6_vxpyff","","","","","","","","","","","","",""
"","","","","","survey","1","35772","0.0-1.0","2025-02-04T13:59:04.605Z","6_vxpyff","16725","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","2761000","0.0-2.0","2025-02-04T13:59:04.605Z","6_vxpyff","2726718","{""subject_id"":""6_vxpyff""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","2770279","0.0-3.0","2025-02-04T13:59:04.605Z","6_vxpyff","9274","67","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","2774102","0.0-4.0","2025-02-04T13:59:04.605Z","6_vxpyff","3821","78","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","2795863","0.0-5.0","2025-02-04T13:59:04.605Z","6_vxpyff","21758","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","2978372","0.0-6.0","2025-02-04T13:59:04.605Z","6_vxpyff","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","2978375","0.0-7.0-0.0","2025-02-04T13:59:04.605Z","6_vxpyff","","","","","","","","","","","","",""
"","","","","","survey","8","3107359","0.0-7.0-1.0","2025-02-04T13:59:04.605Z","6_vxpyff","128814","{""PCIRest1"":4,""PCIRest2"":1,""PCIRest3"":4,""PCIRest4"":5,""PCIRest5"":3,""PCIRest6"":2,""PCIRest7"":3,""PCIRest8"":1,""PCIRest9"":2,""PCIRest10"":3,""PCIRest11"":2,""PCIRest12"":4,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","3107362","0.0-7.0-2.0","2025-02-04T13:59:04.605Z","6_vxpyff","","","","","","","","","","","","",""
"","","","","","instructions","10","3181342","0.0-8.0","2025-02-04T13:59:04.605Z","6_vxpyff","73976","","instructions1","","","","[{""page_index"":0,""viewing_time"":73975}]","","","","","",""
"","","","","","html-button-response","11","3294664","0.0-9.0","2025-02-04T13:59:04.605Z","6_vxpyff","113254","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","5484780","0.0-10.0","2025-02-04T13:59:04.605Z","6_vxpyff","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","5484784","0.0-11.0-0.0","2025-02-04T13:59:04.605Z","6_vxpyff","","","","","","","","","","","","",""
"","","","","","survey","14","5632450","0.0-11.0-1.0","2025-02-04T13:59:04.605Z","6_vxpyff","147477","{""PCIGanz1"":5,""PCIGanz2"":5,""PCIGanz3"":0,""PCIGanz4"":5,""PCIGanz5"":5,""PCIGanz6"":1,""PCIGanz7"":4,""PCIGanz8"":1,""PCIGanz9"":1,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":5,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","5632455","0.0-11.0-2.0","2025-02-04T13:59:04.605Z","6_vxpyff","","","","","","","","","","","","",""
"","","","","","survey","16","5715466","0.0-12.0","2025-02-04T13:59:04.605Z","6_vxpyff","82934","{""DSSQ"":{""DSSQ01"":2,""DSSQ02"":3,""DSSQ03"":2,""DSSQ05"":4,""DSSQ04"":2,""DSSQ06"":2,""DSSQ07"":1,""DSSQ08"":3},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","5729356","0.0-13.0","2025-02-04T13:59:04.605Z","6_vxpyff","13885","24","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","5733508","0.0-14.0","2025-02-04T13:59:04.605Z","6_vxpyff","4149","57","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","5795586","0.0-15.0","2025-02-04T13:59:04.605Z","6_vxpyff","62075","","instructions2","","","","[{""page_index"":0,""viewing_time"":62074}]","","","","","",""
"","","","","","html-button-response","20","5799635","0.0-16.0","2025-02-04T13:59:04.605Z","6_vxpyff","4045","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","","21","2","3","../video/29 C Jumping from Cylons.mp4","../video/29 D Time Warp.mp4",""
"true","false","[]","[]","[]","preload","21","5800336","0.0-17.0","2025-02-04T13:59:04.605Z","6_vxpyff","","","","","","","","","","","","",""
