"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","6292","0.0-0.0","2025-02-10T13:02:20.486Z","5_9mz872","","","","","","",""
"","","","","","survey","1","8717","0.0-1.0","2025-02-10T13:02:20.486Z","5_9mz872","2401","{""testrun"":""Experiment""}","testrun","","","",""
"","","","","","survey-text","2","23650","0.0-2.0","2025-02-10T13:02:20.486Z","5_9mz872","14917","{""subject_id"":""5_9mz872""}","welcome","","","",""
"","","","","","html-slider-response","3","98849","0.0-3.0","2025-02-10T13:02:20.486Z","5_9mz872","75198","94","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","",""
"","","","","","html-slider-response","4","107258","0.0-4.0","2025-02-10T13:02:20.486Z","5_9mz872","8408","100","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","",""
"","","","","","html-button-response","5","164698","0.0-5.0","2025-02-10T13:02:20.486Z","5_9mz872","57438","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","",""
"","","","","","html-keyboard-response","6","347211","0.0-6.0","2025-02-10T13:02:20.486Z","5_9mz872","null","null","rest","","","",""
"","","","","","call-function","7","347214","0.0-7.0-0.0","2025-02-10T13:02:20.486Z","5_9mz872","","","","","","",""
"","","","","","survey","8","670424","0.0-7.0-1.0","2025-02-10T13:02:20.486Z","5_9mz872","323168","{""PCIRest1"":6,""PCIRest2"":6,""PCIRest3"":6,""PCIRest4"":6,""PCIRest5"":3,""PCIRest6"":1,""PCIRest7"":0,""PCIRest8"":0,""PCIRest9"":0,""PCIRest10"":6,""PCIRest11"":6,""PCIRest12"":6,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","670425","0.0-7.0-2.0","2025-02-10T13:02:20.486Z","5_9mz872","","","","","","",""
"","","","","","instructions","10","951409","0.0-8.0","2025-02-10T13:02:20.486Z","5_9mz872","280984","","instructions1","","","","[{""page_index"":0,""viewing_time"":280984}]"
"","","","","","html-button-response","11","1205594","0.0-9.0","2025-02-10T13:02:20.486Z","5_9mz872","254181","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
