"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","6090","0.0-0.0","2025-04-29T12:51:54.855Z","5_cpcb8v","","","","","","",""
"","","","","","survey","1","9025","0.0-1.0","2025-04-29T12:51:54.855Z","5_cpcb8v","2912","{""testrun"":""Experiment""}","testrun","","","",""
"","","","","","survey-text","2","381859","0.0-2.0","2025-04-29T12:51:54.855Z","5_cpcb8v","372819","{""subject_id"":""5_cpcb8v""}","welcome","","","",""
"","","","","","html-slider-response","3","405746","0.0-3.0","2025-04-29T12:51:54.855Z","5_cpcb8v","23885","12","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","",""
"","","","","","html-slider-response","4","413891","0.0-4.0","2025-04-29T12:51:54.855Z","5_cpcb8v","8143","100","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","",""
"","","","","","html-button-response","5","433515","0.0-5.0","2025-04-29T12:51:54.855Z","5_cpcb8v","19623","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","",""
"","","","","","html-keyboard-response","6","616031","0.0-6.0","2025-04-29T12:51:54.855Z","5_cpcb8v","null","null","rest","","","",""
"","","","","","call-function","7","616035","0.0-7.0-0.0","2025-04-29T12:51:54.855Z","5_cpcb8v","","","","","","",""
"","","","","","survey","8","852223","0.0-7.0-1.0","2025-04-29T12:51:54.855Z","5_cpcb8v","236155","{""PCIRest1"":1,""PCIRest2"":2,""PCIRest3"":2,""PCIRest4"":3,""PCIRest5"":4,""PCIRest6"":5,""PCIRest7"":2,""PCIRest8"":2,""PCIRest9"":1,""PCIRest10"":2,""PCIRest11"":2,""PCIRest12"":1,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","852224","0.0-7.0-2.0","2025-04-29T12:51:54.855Z","5_cpcb8v","","","","","","",""
"","","","","","instructions","10","1197513","0.0-8.0","2025-04-29T12:51:54.855Z","5_cpcb8v","345288","","instructions1","","","","[{""page_index"":0,""viewing_time"":345288}]"
"","","","","","html-button-response","11","1337306","0.0-9.0","2025-04-29T12:51:54.855Z","5_cpcb8v","139790","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
